"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.683355833E-1,-3.974735472E-1,-8.599383116E-1,7.836993903E-1
7.783585833E-1,2.807178068E-1,-1.029888804E0,7.026388550E-1
7.883815833E-1,6.078285921E-1,-7.172200567E-1,3.948987257E-1
7.984045833E-1,7.299839437E-1,-3.042703915E-1,-2.516384339E-1
8.084275833E-1,6.896361092E-1,-2.341271925E-1,-4.242961872E-1
8.184515833E-1,6.058788380E-1,-3.520468211E-1,-3.954290682E-1
8.284745833E-1,7.102452055E-1,-5.490588123E-1,-1.715549684E-1
8.384975833E-1,1.070638927E0,-7.502229112E-1,-2.386248708E-3
8.485205833E-1,1.247729162E0,-5.163793087E-1,-2.585738164E-1
8.585435833E-1,1.090082965E0,-1.725735533E-1,-9.760838950E-1
8.685675833E-1,1.053822042E0,-1.965576625E-1,-1.299093443E0
8.785905833E-1,1.028291052E0,-2.080211288E-1,-1.390801758E0
8.886135833E-1,8.786511558E-1,-2.319029117E-1,-1.458333591E0
8.986365833E-1,2.494612232E-1,-7.584248006E-2,-1.153406557E0
9.086595833E-1,-3.470994920E-1,-2.412151873E-2,-6.772549224E-1
9.186835833E-1,-5.036619070E-1,1.088102514E-1,-2.519775724E-1
9.287065833E-1,-5.676266456E-1,5.050263548E-1,2.316549897E-2
9.387295833E-1,-4.875118974E-1,5.966919851E-1,4.133554620E-1
9.487525833E-1,-6.562289196E-1,4.263000280E-1,5.375731266E-1
9.587755833E-1,-5.822774291E-1,3.986280799E-2,3.779236740E-1
9.687985833E-1,-1.731924811E-1,-1.732307804E-1,1.204549813E-1
9.788225833E-1,2.210516489E-1,-6.821771085E-2,7.190496504E-2
9.888455833E-1,5.963490459E-1,9.222871721E-2,2.478529465E-1
9.988685833E-1,5.982800889E-1,2.731901014E-1,5.205179679E-1
1.008891583E0,5.516298330E-1,3.461539972E-1,4.792249310E-1
1.018914583E0,7.813613811E-1,3.231592369E-1,1.535893983E-1
1.028938583E0,9.731705198E-1,9.153874576E-2,-8.138178134E-1
1.038961583E0,7.424373436E-1,1.084149796E-1,-1.617617007E0
1.048984583E0,2.397411042E-1,1.432737404E-1,-1.491962097E0
1.059007583E0,8.062564865E-1,-1.998806351E-1,-3.253607136E-1
1.069030583E0,1.318143964E0,-4.118129665E-1,1.133535379E0
1.079054583E0,9.926236215E-1,-1.707381123E-1,1.382165421E0
1.089077583E0,7.524755511E-1,3.809449303E-1,9.439125144E-1
1.099100583E0,2.398264736E-2,6.439398265E-1,2.660067970E-1
1.109123583E0,-2.223438835E-1,5.844116628E-1,-2.933589023E-1
1.119146583E0,2.328103995E-1,5.550177097E-1,-8.234493470E-1
1.129170583E0,1.629870433E-1,3.991391265E-1,-1.126991175E0
1.139193583E0,4.495383248E-1,3.890380615E-1,-1.275035074E0
1.149216583E0,9.531107694E-1,5.757279629E-1,-1.207441846E0
1.159239583E0,9.336760864E-1,6.222220981E-1,-9.532095873E-1
