"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.485094704E1,-2.453366369E-1,-1.475933343E-1,4.867559075E-1
1.486097004E1,-3.662402928E-1,-1.667730361E-1,4.817067385E-1
1.487099404E1,-4.775372446E-1,-1.862679124E-1,4.887617230E-1
1.488101704E1,-5.843826532E-1,-2.247784585E-1,4.980761111E-1
1.489104004E1,-6.685289145E-1,-2.247094810E-1,5.016460419E-1
1.490106304E1,-7.328743935E-1,-1.954917312E-1,4.973623455E-1
1.491108704E1,-7.809543014E-1,-1.760581136E-1,4.853003621E-1
1.492111004E1,-8.021516204E-1,-1.909682602E-1,4.670201242E-1
1.493113304E1,-7.952194214E-1,-2.630762756E-1,4.218036532E-1
1.494115604E1,-7.945111990E-1,-3.475915194E-1,3.759991229E-1
1.495117904E1,-7.757758498E-1,-3.871112466E-1,3.251194358E-1
1.496120304E1,-7.322096825E-1,-3.939024210E-1,2.792574763E-1
1.497122604E1,-6.730648875E-1,-3.729366660E-1,2.390922010E-1
1.498124904E1,-6.343016624E-1,-3.298538327E-1,2.178880870E-1
1.499127204E1,-6.190766096E-1,-3.000288308E-1,2.203650922E-1
1.500129604E1,-5.898346901E-1,-3.004970849E-1,2.483277172E-1
1.501131904E1,-5.516849160E-1,-3.133047521E-1,2.838785350E-1
1.502134204E1,-5.619827509E-1,-2.924002409E-1,3.024766743E-1
1.503136504E1,-6.299639344E-1,-2.448391020E-1,3.177120686E-1
1.504138904E1,-6.951532364E-1,-1.970274299E-1,3.720282316E-1
1.505141204E1,-6.787108779E-1,-1.841616929E-1,4.107777476E-1
1.506143504E1,-6.170164347E-1,-1.513493657E-1,4.256715775E-1
1.507145804E1,-5.786921978E-1,-7.654729486E-2,4.325340092E-1
1.508148204E1,-5.780440569E-1,8.173882961E-4,3.963843584E-1
1.509150504E1,-5.979908705E-1,3.106104396E-2,3.435224593E-1
1.510152804E1,-5.856036544E-1,-1.889666356E-2,3.170847595E-1
1.511155104E1,-5.082113743E-1,-9.890041500E-2,3.194049001E-1
1.512157404E1,-3.947805464E-1,-1.761652231E-1,3.101715446E-1
1.513159804E1,-2.802233398E-1,-2.079024017E-1,2.804432213E-1
1.514162104E1,-2.058466822E-1,-1.936407387E-1,2.485240102E-1
1.515164404E1,-1.860103905E-1,-1.502810121E-1,2.262613028E-1
1.516166704E1,-2.287681997E-1,-1.049851105E-1,2.207690775E-1
1.517169104E1,-3.064456880E-1,-8.951028436E-2,2.313389033E-1
1.518171404E1,-3.976765275E-1,-9.037519246E-2,2.590371668E-1
1.519173704E1,-4.609074295E-1,-1.001079828E-1,2.836077809E-1
1.520176004E1,-4.602279663E-1,-1.435097754E-1,2.900971174E-1
1.521178404E1,-4.485329688E-1,-2.029683143E-1,2.616577446E-1
1.522180704E1,-4.690418839E-1,-2.237488180E-1,2.055234462E-1
1.523183004E1,-5.205791593E-1,-2.447672933E-1,1.612395942E-1
1.524185304E1,-5.899742842E-1,-2.838513851E-1,1.528061181E-1
1.525187704E1,-6.548203826E-1,-3.339638114E-1,1.681784093E-1
1.526190004E1,-6.996378303E-1,-3.684089482E-1,1.497685462E-1
1.527192304E1,-6.829600334E-1,-4.385704696E-1,1.066338494E-1
1.528194604E1,-6.356255412E-1,-5.176756978E-1,2.678649500E-2
1.529197004E1,-6.065643430E-1,-6.158342361E-1,-7.900678366E-2
1.530199304E1,-6.284977198E-1,-7.444174290E-1,-1.674838662E-1
1.531201604E1,-6.582915783E-1,-8.497800827E-1,-2.477193177E-1
1.532203904E1,-6.707120538E-1,-9.130749702E-1,-3.057058752E-1
1.533206204E1,-6.313552856E-1,-9.383763075E-1,-3.136146665E-1
1.534208604E1,-5.596127510E-1,-9.373605847E-1,-2.880824804E-1
1.535210904E1,-4.650047421E-1,-8.854723573E-1,-2.529756129E-1
1.536213204E1,-3.223986626E-1,-7.832381129E-1,-2.229634076E-1
1.537215504E1,-1.245779991E-1,-7.059172392E-1,-1.674370319E-1
1.538217904E1,1.350529194E-1,-5.576151013E-1,-7.180147618E-2
1.539220204E1,3.900782764E-1,-4.131351411E-1,-2.714106441E-2
1.540222504E1,5.583691597E-1,-2.722561657E-1,-4.002400860E-2
1.541224804E1,6.536219120E-1,-1.664381325E-1,-6.673710793E-2
1.542227204E1,7.157189846E-1,-1.154038459E-1,-4.909296706E-2
1.543229504E1,7.159847617E-1,-1.284421533E-1,-3.559287265E-2
1.544231804E1,6.388828754E-1,-1.705395579E-1,-4.293509945E-2
1.545234104E1,5.216214657E-1,-2.417988479E-1,-5.931327119E-2
1.546236504E1,3.966692090E-1,-3.295783997E-1,-6.776354462E-2
1.547238804E1,3.013834357E-1,-3.910516202E-1,-4.970225319E-2
1.548241104E1,2.619842887E-1,-4.236226976E-1,2.257946646E-3
1.549243404E1,2.614295483E-1,-4.498426020E-1,3.908520192E-2
1.550245704E1,2.445373237E-1,-4.925702512E-1,7.037442923E-2
1.551248104E1,2.042964250E-1,-4.922520220E-1,1.126835421E-1
1.552250404E1,1.762510091E-1,-4.821028113E-1,1.391809881E-1
1.553252704E1,1.401944757E-1,-4.495576620E-1,1.436817348E-1
1.554255004E1,1.414986253E-1,-3.552766442E-1,1.679355204E-1
1.555257404E1,1.776872575E-1,-3.064691424E-1,2.055068612E-1
1.556259704E1,1.921441555E-1,-2.715002000E-1,2.565962374E-1
1.557262004E1,1.623931825E-1,-2.322161496E-1,3.125660419E-1
1.558264304E1,9.252815694E-2,-1.425782144E-1,3.851623833E-1
1.559266704E1,1.717826817E-3,-4.132189974E-2,4.522042572E-1
1.560269004E1,-7.044884562E-2,4.346367717E-2,4.939977229E-1
1.561271304E1,-8.686031401E-2,1.227012351E-1,5.370722413E-1
1.562273604E1,-6.461406499E-2,1.808468699E-1,5.640932322E-1
1.563276004E1,-5.296646431E-2,2.524392903E-1,5.636261106E-1
1.564278304E1,-5.450211093E-2,2.943044901E-1,5.576107502E-1
1.565280604E1,-1.857952960E-2,3.136938810E-1,5.368098617E-1
1.566282904E1,3.386018425E-2,3.384540677E-1,5.379999876E-1
1.567285304E1,7.643081993E-2,3.697126508E-1,5.529655814E-1
1.568287604E1,1.016582698E-1,3.777035475E-1,5.661798716E-1
1.569289904E1,1.125327572E-1,3.733410239E-1,5.645934343E-1
1.570292204E1,1.239444017E-1,3.631049395E-1,5.319443941E-1
1.571294504E1,1.372226626E-1,3.708598018E-1,5.018900633E-1
1.572296904E1,1.371052116E-1,3.987225592E-1,4.835739732E-1
1.573299204E1,1.426403224E-1,4.061208069E-1,4.808567464E-1
1.574301504E1,1.598318368E-1,3.925078213E-1,4.754358232E-1
1.575303804E1,1.866434664E-1,3.642303944E-1,4.582235515E-1
1.576306204E1,2.218308151E-1,3.355723023E-1,4.295201600E-1
1.577308504E1,2.511785924E-1,3.060618341E-1,3.801126778E-1
1.578310804E1,2.635480762E-1,2.641993463E-1,3.187091947E-1
1.579313104E1,2.570654154E-1,2.054081857E-1,2.400471568E-1
1.580315504E1,2.106233686E-1,1.417589486E-1,1.493677646E-1
1.581317804E1,1.324958205E-1,9.657974541E-2,6.786731631E-2
1.582320104E1,5.894621834E-2,7.796011865E-2,2.222695760E-2
1.583322404E1,4.880321678E-3,4.004681855E-2,-4.674363881E-4
1.584324804E1,-6.060174853E-2,1.058166288E-2,-8.938830346E-3
1.585327104E1,-1.356778592E-1,1.119871624E-2,-2.004021779E-2
1.586329404E1,-1.784221828E-1,5.764276534E-2,-2.124908566E-2
1.587331704E1,-1.742620468E-1,1.471271068E-1,-1.331659500E-2
1.588334104E1,-1.306504756E-1,2.161509097E-1,-1.829914004E-2
1.589336404E1,-8.960503340E-2,2.793922126E-1,-2.430669777E-2
1.590338704E1,-5.824031308E-2,3.328365088E-1,-2.689654753E-2
1.591341004E1,-2.246820182E-2,3.333241343E-1,-4.254129156E-2
1.592343304E1,1.356410142E-2,2.823680639E-1,-7.981290668E-2
1.593345704E1,3.264432028E-2,2.081836015E-1,-1.239715740E-1
1.594348004E1,3.290849924E-2,1.471930295E-1,-1.580452174E-1
1.595350304E1,3.587472439E-2,9.765052050E-2,-1.630466431E-1
1.596352604E1,4.761607572E-2,5.933674425E-2,-1.538365036E-1
1.597355004E1,4.175712168E-2,5.758571625E-2,-1.466464996E-1
1.598357304E1,2.552075498E-2,8.234625310E-2,-1.294959784E-1
1.599359604E1,9.076800197E-3,1.287755221E-1,-1.108956486E-1
1.600361904E1,2.530271187E-2,1.905451417E-1,-1.015766859E-1
1.601364304E1,6.188682094E-2,2.444864213E-1,-1.087946519E-1
1.602366604E1,8.052988350E-2,2.660635114E-1,-1.142008454E-1
1.603368904E1,6.083980203E-2,2.625153959E-1,-1.124452874E-1
1.604371204E1,1.548743434E-2,2.520447075E-1,-1.049606502E-1
1.605373604E1,-3.780081868E-2,2.171253264E-1,-9.616822004E-2
1.606375904E1,-8.193831891E-2,1.997137666E-1,-1.014279500E-1
1.607378204E1,-1.135492399E-1,2.121768296E-1,-1.137796864E-1
1.608380504E1,-1.359665990E-1,2.412958145E-1,-1.419306695E-1
1.609382904E1,-1.608184278E-1,2.475608885E-1,-1.838682592E-1
1.610385204E1,-1.993137598E-1,2.018298805E-1,-2.114984840E-1
1.611387504E1,-2.433954626E-1,1.293428987E-1,-2.217572480E-1
1.612389804E1,-2.738612890E-1,4.429651052E-2,-2.284582108E-1
1.613392204E1,-3.023994565E-1,-1.883452013E-2,-2.292057574E-1
1.614394504E1,-3.253270686E-1,-6.347307563E-2,-2.175456882E-1
1.615396804E1,-3.289351165E-1,-7.755826414E-2,-1.916051656E-1
1.616399104E1,-3.212830722E-1,-5.725875497E-2,-1.843385547E-1
1.617401404E1,-2.978001237E-1,-2.170954831E-2,-1.847255081E-1
1.618403804E1,-2.549799383E-1,2.126351185E-2,-1.783305407E-1
1.619406104E1,-2.185979784E-1,3.689094633E-2,-1.714545190E-1
1.620408404E1,-2.102315128E-1,2.168319188E-3,-1.405589730E-1
1.621410704E1,-2.217164040E-1,-3.611808270E-2,-9.098529071E-2
1.622413104E1,-2.124906033E-1,-6.839240342E-2,-2.983348258E-2
1.623415404E1,-1.517372429E-1,-6.004711986E-2,3.160191327E-2
1.624417704E1,-5.525271222E-2,4.910865799E-2,8.875498921E-2
1.625420004E1,2.710128203E-2,2.222849727E-1,1.230288073E-1
1.626422404E1,6.775350124E-2,3.792338371E-1,1.328677684E-1
1.627424704E1,9.314221144E-2,4.867757559E-1,1.358585060E-1
1.628427004E1,7.312636077E-2,5.098289251E-1,1.230941340E-1
1.629429304E1,-4.959920421E-3,4.532503188E-1,8.529748768E-2
1.630431704E1,-1.103188321E-1,3.079088628E-1,8.938195184E-3
1.631434004E1,-2.191105634E-1,1.213866547E-1,-7.338437438E-2
1.632436304E1,-3.113754988E-1,-8.179768175E-2,-1.247627363E-1
1.633438604E1,-3.560785353E-1,-2.359523773E-1,-1.481482238E-1
1.634441004E1,-3.628010750E-1,-3.281619251E-1,-1.383035481E-1
1.635443304E1,-3.404276073E-1,-3.439773917E-1,-1.272207946E-1
1.636445604E1,-3.221655190E-1,-3.030736148E-1,-1.164341941E-1
1.637447904E1,-3.026687801E-1,-2.316969037E-1,-9.820032865E-2
1.638450204E1,-2.977140844E-1,-1.956247091E-1,-7.683090121E-2
1.639452608E1,-2.937624753E-1,-1.998002827E-1,-6.177338958E-2
1.640454908E1,-2.950503230E-1,-2.005641311E-1,-6.435780972E-2
1.641457208E1,-2.955957353E-1,-1.646924168E-1,-7.362134755E-2
1.642459508E1,-2.669207156E-1,-1.566381902E-1,-9.609438479E-2
1.643461908E1,-2.463363409E-1,-1.887846738E-1,-1.009176373E-1
1.644464208E1,-2.202568501E-1,-2.128924429E-1,-8.556512743E-2
1.645466508E1,-2.018741220E-1,-2.348965555E-1,-5.120183155E-2
1.646468808E1,-1.824786365E-1,-2.274571955E-1,-2.014776133E-2
1.647471208E1,-1.504690498E-1,-1.722264290E-1,6.727263331E-3
1.648473508E1,-1.030591279E-1,-9.704371542E-2,4.814715311E-2
1.649475808E1,-4.872265086E-2,-3.917855024E-2,1.021320969E-1
1.650478108E1,-1.313660759E-3,1.960037276E-2,1.502289325E-1
1.651480508E1,2.904850617E-2,9.254142642E-2,2.050274611E-1
1.652482808E1,6.373032928E-2,1.609157324E-1,2.565155625E-1
1.653485108E1,1.296475530E-1,2.295882702E-1,3.024162054E-1
1.654487408E1,2.294014394E-1,2.942840159E-1,3.420091271E-1
1.655489808E1,3.224043548E-1,3.349227905E-1,3.555281162E-1
1.656492108E1,3.909658492E-1,4.084535539E-1,3.409233987E-1
1.657494408E1,4.410172999E-1,4.708873630E-1,3.240493536E-1
1.658496708E1,4.524034262E-1,4.828947186E-1,2.916883230E-1
1.659499108E1,4.312845767E-1,4.518057704E-1,2.579405010E-1
1.660501408E1,3.660298586E-1,3.834552169E-1,2.032537460E-1
1.661503708E1,2.601606846E-1,2.767626047E-1,1.209828556E-1
1.662506008E1,1.462620199E-1,1.255041063E-1,1.769903861E-2
1.663508308E1,1.169222035E-2,-4.477867484E-2,-9.428848326E-2
1.664510708E1,-1.240314543E-1,-1.957303584E-1,-1.862442642E-1
1.665513008E1,-2.231236845E-1,-3.290351629E-1,-2.772247791E-1
1.666515308E1,-2.955745757E-1,-4.313815832E-1,-3.572157323E-1
1.667517608E1,-3.413593769E-1,-5.006080270E-1,-4.199411571E-1
1.668520008E1,-3.593626320E-1,-5.511361957E-1,-4.587773383E-1
1.669522308E1,-3.606081903E-1,-5.830288529E-1,-4.800013900E-1
1.670524608E1,-3.433306217E-1,-5.747071505E-1,-4.761626720E-1
1.671526908E1,-3.066099286E-1,-5.126584172E-1,-4.293107390E-1
1.672529308E1,-2.435356677E-1,-4.360918701E-1,-3.613722920E-1
1.673531608E1,-1.717621386E-1,-3.640472293E-1,-2.972494960E-1
1.674533908E1,-1.036571339E-1,-2.992598712E-1,-2.325962484E-1
1.675536208E1,-3.736865520E-2,-2.745974064E-1,-1.550292820E-1
1.676538608E1,2.474830672E-2,-2.693178654E-1,-7.536585629E-2
1.677540908E1,8.014924824E-2,-2.528193295E-1,-5.821140483E-3
1.678543208E1,1.202405989E-1,-2.251125872E-1,4.640284181E-2
1.679545508E1,1.508323252E-1,-1.869433671E-1,9.864021093E-2
1.680547908E1,1.777590215E-1,-1.431113482E-1,1.558768600E-1
1.681550208E1,1.980904043E-1,-1.074044779E-1,1.939387470E-1
1.682552508E1,2.137502432E-1,-5.329671502E-2,2.201105058E-1
1.683554808E1,2.448602319E-1,1.280214638E-2,2.271947861E-1
1.684557208E1,2.810412645E-1,5.617924407E-2,2.093441933E-1
1.685559508E1,3.021782339E-1,4.657002538E-2,1.778720319E-1
1.686561808E1,3.044739664E-1,-1.632600464E-2,1.454448551E-1
1.687564108E1,2.797795236E-1,-1.003689766E-1,1.114216447E-1
1.688566408E1,2.538637817E-1,-1.752196103E-1,7.808281481E-2
1.689568808E1,2.350554764E-1,-2.325822264E-1,4.137140512E-2
1.690571108E1,2.189452797E-1,-2.542747259E-1,-4.159519449E-4
1.691573408E1,1.975009739E-1,-2.565669119E-1,-4.058467969E-2
1.692575708E1,1.704607010E-1,-2.492766678E-1,-7.147397846E-2
1.693578108E1,1.459383070E-1,-2.269149125E-1,-8.000940830E-2
1.694580408E1,1.428800076E-1,-1.839305907E-1,-7.405864447E-2
1.695582708E1,1.686538160E-1,-8.810339868E-2,-6.500549614E-2
1.696585008E1,2.272682488E-1,7.727671415E-3,-7.569185644E-2
1.697587408E1,2.970491946E-1,9.786049277E-2,-9.065083414E-2
1.698589708E1,3.740695715E-1,1.756008565E-1,-9.444145858E-2
1.699592008E1,4.196226597E-1,2.191717774E-1,-6.623911113E-2
1.700594308E1,4.175549746E-1,2.309283018E-1,-1.698821038E-2
1.701596708E1,3.798770905E-1,2.019094229E-1,3.957067430E-2
1.702599008E1,3.090834320E-1,1.544177532E-1,7.892879099E-2
1.703601308E1,2.144754380E-1,1.159507707E-1,9.615997225E-2
1.704603608E1,1.108170748E-1,9.428274632E-2,9.867320210E-2
1.705606008E1,3.181866556E-2,8.756785095E-2,9.442625940E-2
1.706608308E1,-4.345062654E-3,5.628653616E-2,7.762839645E-2
1.707610608E1,-1.791413315E-2,3.900741413E-2,5.230226368E-2
1.708612908E1,-3.466409072E-2,3.247778863E-2,2.376111783E-2
1.709615308E1,-4.564110935E-2,2.878079005E-2,-9.029479697E-4
1.710617608E1,-3.520111367E-2,-1.724724658E-2,-2.557657659E-2
1.711619908E1,-8.463243023E-3,-1.083968580E-1,-6.420200318E-2
1.712622208E1,-2.531324513E-3,-1.977590621E-1,-1.054379046E-1
1.713624608E1,-2.087038383E-2,-2.816030979E-1,-1.323574036E-1
1.714626908E1,-5.422227457E-2,-3.614420891E-1,-1.361826956E-1
1.715629208E1,-9.403786808E-2,-4.143828154E-1,-1.259156764E-1
1.716631508E1,-1.259983778E-1,-4.430792034E-1,-1.191032156E-1
1.717633908E1,-1.469121873E-1,-4.156206846E-1,-9.847330302E-2
1.718636208E1,-1.303281486E-1,-3.747952282E-1,-7.145146281E-2
1.719638508E1,-1.009220704E-1,-3.374230862E-1,-3.425988555E-2
1.720640808E1,-6.879555434E-2,-3.013209999E-1,1.895426027E-2
1.721643208E1,-4.998458549E-2,-2.707819939E-1,6.707198173E-2
1.722645508E1,-3.996550664E-2,-2.329722941E-1,1.012390107E-1
1.723647808E1,-2.651228011E-2,-1.996702701E-1,1.552995741E-1
1.724650108E1,-2.277740277E-2,-1.287938356E-1,1.994986087E-1
1.725652408E1,-4.593785107E-2,-4.773600399E-2,2.062515914E-1
1.726654808E1,-1.008360535E-1,2.932371572E-2,1.780125052E-1
1.727657108E1,-1.569080949E-1,8.109610528E-2,1.519524008E-1
1.728659408E1,-1.795311868E-1,8.372641355E-2,1.499361843E-1
1.729661708E1,-1.836897135E-1,7.946641743E-2,1.621505022E-1
1.730664108E1,-1.770785451E-1,8.996339142E-2,1.953035742E-1
1.731666408E1,-1.420486569E-1,1.338546872E-1,2.285118550E-1
1.732668708E1,-8.380266279E-2,1.836653650E-1,2.751376629E-1
1.733671008E1,-1.443983987E-2,2.635530233E-1,3.420229554E-1
1.734673408E1,5.767329037E-2,3.605335951E-1,4.094320536E-1
1.735675708E1,1.090368778E-1,4.469728768E-1,4.505164027E-1
1.736678008E1,1.084730923E-1,5.148063898E-1,4.718943536E-1
1.737680308E1,4.970299080E-2,5.412890911E-1,4.639594555E-1
1.738682708E1,-2.317760698E-2,5.221929550E-1,4.526910484E-1
1.739684942E1,-9.021949023E-2,4.358029366E-1,4.299103618E-1
1.740687242E1,-1.725844741E-1,3.393030763E-1,3.734862804E-1
1.741689542E1,-2.558007836E-1,2.344818562E-1,2.898063064E-1
1.742691942E1,-3.208647668E-1,1.204187647E-1,1.991049647E-1
1.743694242E1,-3.497390151E-1,2.535538748E-3,1.240528300E-1
1.744696542E1,-3.478637934E-1,-1.065319106E-1,7.275367528E-2
1.745698842E1,-3.076204956E-1,-1.634652466E-1,4.633724317E-2
1.746701242E1,-2.080896795E-1,-1.512022167E-1,2.588317543E-2
1.747703542E1,-8.261296898E-2,-3.452033177E-2,8.915909566E-3
1.748705842E1,5.194417760E-2,1.338238120E-1,2.090590773E-3
1.749708142E1,1.607319117E-1,2.916768193E-1,1.564048789E-2
1.750710542E1,2.378435284E-1,3.993006051E-1,3.779146448E-2
1.751712842E1,2.769725323E-1,4.704940915E-1,5.531026796E-2
1.752715142E1,2.754971981E-1,5.252913237E-1,6.646165252E-2
1.753717442E1,2.617582083E-1,4.994741082E-1,7.485406846E-2
1.754719842E1,2.033860981E-1,4.433020651E-1,7.689574361E-2
1.755722142E1,9.708549082E-2,3.901118040E-1,6.589076668E-2
1.756724442E1,-2.501299046E-2,3.500975668E-1,2.646533027E-2
1.757726742E1,-1.271225810E-1,2.918584943E-1,-2.190886065E-2
1.758729042E1,-1.907442957E-1,2.261757553E-1,-5.937651172E-2
1.759731442E1,-2.497796565E-1,1.617957056E-1,-9.173204750E-2
1.760733742E1,-2.656229436E-1,8.040060103E-2,-1.167422310E-1
1.761736042E1,-2.447432280E-1,1.696143858E-2,-1.441139430E-1
1.762738342E1,-1.798117012E-1,-8.264894783E-2,-1.691484302E-1
1.763740742E1,-1.206809953E-1,-1.553665698E-1,-1.597008705E-1
1.764743042E1,-8.241748810E-2,-1.979478300E-1,-1.317542642E-1
1.765745342E1,-4.527012259E-2,-1.864996850E-1,-1.028837413E-1
1.766747642E1,-6.456151605E-3,-1.310405135E-1,-8.094199747E-2
1.767750042E1,3.796484321E-2,-7.722467929E-2,-6.766746938E-2
1.768752342E1,7.058263570E-2,-1.666380651E-2,-4.307949170E-2
1.769754642E1,1.044604480E-1,1.562648825E-2,-1.256676158E-3
1.770756942E1,1.460158825E-1,6.764201820E-2,3.660522029E-2
1.771759342E1,2.083389014E-1,8.229606599E-2,6.150657311E-2
1.772761642E1,2.581517994E-1,1.146650240E-1,9.005640447E-2
1.773763942E1,2.926682234E-1,1.181287244E-1,1.176675260E-1
1.774766242E1,3.094368279E-1,1.021352261E-1,1.459609121E-1
1.775768642E1,3.082975447E-1,1.099995375E-1,1.670821756E-1
1.776770942E1,3.248889446E-1,1.194021478E-1,1.696466208E-1
1.777773242E1,3.446708918E-1,1.342247725E-1,1.702831239E-1
1.778775542E1,3.571220636E-1,1.206830516E-1,1.724996567E-1
1.779777942E1,3.317815661E-1,8.437457681E-2,1.655807644E-1
1.780780242E1,2.877417207E-1,3.308112174E-2,1.522433162E-1
1.781782542E1,2.465229034E-1,-7.719573099E-3,1.523450613E-1
1.782784842E1,2.219782174E-1,-3.780972213E-2,1.343588829E-1
1.783787242E1,1.995232403E-1,-5.320865288E-2,1.057746410E-1
1.784789542E1,1.593500674E-1,-7.443594187E-2,8.485802263E-2
1.785791842E1,8.625029027E-2,-1.101686358E-1,7.752980292E-2
1.786794142E1,-5.246745422E-3,-1.746330857E-1,6.610975415E-2
1.787796542E1,-1.049613580E-1,-2.690163255E-1,4.497543722E-2
1.788798842E1,-2.105350494E-1,-3.762477636E-1,2.118909918E-2
1.789801142E1,-3.002401888E-1,-4.524410665E-1,1.321852393E-2
1.790803442E1,-3.768804371E-1,-4.642074406E-1,5.359499715E-3
1.791805842E1,-4.203543961E-1,-3.842260540E-1,-7.414085791E-3
1.792808142E1,-3.867052197E-1,-2.620080411E-1,-4.803886637E-2
1.793810442E1,-2.837346196E-1,-1.476782560E-1,-1.014546901E-1
1.794812742E1,-1.572934687E-1,-6.915151328E-2,-1.294642240E-1
1.795815042E1,-6.352090836E-2,-1.953122951E-2,-1.296383888E-1
1.796817442E1,6.697468460E-3,6.520844065E-3,-1.200226322E-1
1.797819742E1,6.504466385E-2,3.231995180E-2,-1.202279627E-1
1.798822042E1,1.236431226E-1,6.734851748E-2,-1.241548657E-1
1.799824342E1,1.683671772E-1,8.217912912E-2,-1.381167471E-1
1.800826742E1,1.916410923E-1,8.603895456E-2,-1.468301117E-1
1.801829042E1,2.085250020E-1,9.706711024E-2,-1.554760635E-1
1.802831342E1,2.075705826E-1,1.369646490E-1,-1.630429924E-1
1.803833642E1,2.051756084E-1,1.691399068E-1,-1.671359986E-1
1.804836042E1,1.917404830E-1,1.996870190E-1,-1.661832929E-1
1.805838342E1,1.721777022E-1,2.149527967E-1,-1.540432721E-1
1.806840642E1,1.589232087E-1,1.873961538E-1,-1.332479119E-1
1.807842942E1,1.433415860E-1,1.507009864E-1,-1.092123538E-1
1.808845342E1,1.192086935E-1,1.358104497E-1,-9.464478493E-2
1.809847642E1,1.088452712E-1,1.205689088E-1,-8.216601610E-2
1.810849942E1,1.041455194E-1,1.031295061E-1,-6.692352146E-2
1.811852242E1,9.551181644E-2,7.777701318E-2,-5.469082668E-2
1.812854642E1,7.962659746E-2,5.727335811E-2,-4.935472086E-2
1.813856942E1,5.764486641E-2,4.017000645E-2,-5.140029639E-2
1.814859242E1,1.994922198E-2,1.344302017E-2,-4.574149847E-2
1.815861542E1,-2.905081213E-2,2.854075283E-4,-3.392984718E-2
1.816863942E1,-6.571228057E-2,-1.266563404E-2,-2.561117336E-2
1.817866242E1,-7.512629032E-2,-1.153565478E-2,-3.491972387E-2
1.818868542E1,-6.202514470E-2,-1.766127720E-2,-4.540117458E-2
1.819870842E1,-3.918933496E-2,-3.310095519E-2,-3.497916088E-2
1.820873242E1,-1.141082868E-2,-4.949171096E-2,-2.309698239E-2
1.821875542E1,2.620019577E-2,-5.365369469E-2,-1.121235918E-2
1.822877842E1,5.631475523E-2,-3.323982656E-2,-4.699416459E-3
1.823880142E1,7.571082562E-2,-4.483545199E-3,-1.556886826E-3
1.824882542E1,8.433007449E-2,1.627718657E-2,5.431001773E-4
1.825884842E1,8.818793297E-2,4.739755392E-2,-7.831540424E-4
1.826887142E1,1.056214496E-1,7.699359208E-2,1.231345814E-3
1.827889442E1,1.304503679E-1,8.691999316E-2,2.070774091E-3
1.828891842E1,1.420338452E-1,9.111946821E-2,2.422759309E-3
1.829894142E1,1.527709067E-1,9.322816133E-2,5.904043559E-3
1.830896442E1,1.717079282E-1,8.599900454E-2,1.445815433E-2
1.831898742E1,1.934728771E-1,6.020575762E-2,2.276801504E-2
1.832901142E1,2.182052583E-1,4.341696203E-2,3.583946079E-2
1.833903442E1,2.318661958E-1,3.291132301E-2,4.162731022E-2
1.834905742E1,2.329891920E-1,5.008107424E-2,4.497571290E-2
1.835908042E1,2.353306413E-1,5.941732228E-2,5.047301203E-2
1.836910442E1,2.224319577E-1,7.493238896E-2,6.052401289E-2
1.837912742E1,2.053520381E-1,8.321189135E-2,6.496296823E-2
1.838915042E1,1.886108071E-1,8.124799281E-2,7.134435326E-2
1.839917354E1,1.759072691E-1,8.293377608E-2,6.737624109E-2
1.840919654E1,1.689692438E-1,8.162084967E-2,6.561951339E-2
1.841922054E1,1.562073827E-1,8.144907653E-2,5.672774836E-2
1.842924354E1,1.368618608E-1,7.435634732E-2,5.561923236E-2
1.843926654E1,9.805934131E-2,6.093614548E-2,6.072530895E-2
1.844929054E1,4.677111655E-2,5.295539647E-2,6.914131343E-2
1.845931354E1,2.100742981E-2,3.252495825E-2,6.999831647E-2
1.846933654E1,1.592691429E-2,2.436340414E-2,5.833001435E-2
1.847935954E1,3.099934012E-2,1.433580555E-2,4.579611495E-2
1.848938354E1,4.702297971E-2,3.868647665E-2,3.673452884E-2
1.849940654E1,4.757292569E-2,8.351413906E-2,2.985558286E-2
1.850942954E1,5.459189042E-2,1.262263209E-1,2.377066016E-2
1.851945254E1,6.105564907E-2,1.360730827E-1,1.876258478E-2
1.852947554E1,5.026565120E-2,1.246203557E-1,1.403945591E-2
1.853949954E1,1.798520796E-2,9.779805690E-2,9.268403053E-3
1.854952254E1,-1.470003277E-2,6.356234848E-2,4.638158716E-3
1.855954554E1,-4.228106141E-2,3.702288494E-2,4.331096075E-3
1.856956854E1,-6.078111380E-2,2.666008286E-2,-1.796595752E-3
1.857959254E1,-6.132999063E-2,3.490043432E-2,-4.175863694E-3
1.858961554E1,-5.111011118E-2,6.683275104E-2,-1.205761917E-3
1.859963854E1,-2.459434792E-2,1.045726687E-1,-4.812480882E-3
1.860966154E1,-2.058079001E-3,1.245274171E-1,-1.182972826E-2
1.861968554E1,6.076812744E-3,1.258121133E-1,-2.638497017E-2
1.862970854E1,-3.410759382E-4,1.123715565E-1,-3.180603683E-2
1.863973154E1,-2.282055281E-2,1.038459837E-1,-2.340855822E-2
1.864975454E1,-4.298720136E-2,1.017849296E-1,-2.056069672E-2
1.865977854E1,-4.518510774E-2,1.027292833E-1,-2.469445392E-2
1.866980154E1,-3.915152326E-2,1.266726404E-1,-3.726260364E-2
1.867982454E1,-1.132761594E-2,1.312178671E-1,-4.202247038E-2
