"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.936255833E-1,-2.503244476E0,7.241940308E0,-6.867868195E0
9.036485833E-1,-3.179238739E0,7.374564514E0,-6.562203827E0
9.136715833E-1,-3.739224243E0,7.386090546E0,-6.105653229E0
9.236945833E-1,-3.865711212E0,7.539371796E0,-5.733227692E0
9.337175833E-1,-3.913910980E0,7.912246399E0,-5.466482391E0
9.437415833E-1,-3.833378448E0,7.946225739E0,-5.106930084E0
9.537645833E-1,-3.999682617E0,7.732470245E0,-5.060376892E0
9.637875833E-1,-3.846251678E0,7.319479065E0,-5.277425537E0
9.738105833E-1,-3.410058746E0,7.135062561E0,-5.563031616E0
9.838335833E-1,-2.984493713E0,7.241341553E0,-5.613626404E0
9.938565833E-1,-2.602637787E0,7.383246460E0,-5.458848267E0
1.003880583E0,-2.583777008E0,7.537575531E0,-5.269492035E0
1.013903583E0,-2.540067902E0,7.570956116E0,-5.410049744E0
1.023926583E0,-2.259551239E0,7.498506775E0,-5.852828979E0
1.033949583E0,-2.038311310E0,7.249125366E0,-6.905889130E0
1.043972583E0,-2.350861359E0,7.300618286E0,-7.652386780E0
1.053996583E0,-2.716700592E0,7.277715912E0,-7.396718445E0
1.064019583E0,-2.042053528E0,6.943610687E0,-6.128405914E0
1.074042583E0,-1.632205811E0,6.758894806E0,-4.762346649E0
1.084065583E0,-1.970801697E0,7.093000031E0,-4.654870148E0
1.094088583E0,-2.186353455E0,7.582332458E0,-5.183421021E0
1.104112583E0,-2.944377136E0,7.833510132E0,-5.866450653E0
1.114135583E0,-2.966830444E0,7.686665497E0,-6.471941528E0
1.124158583E0,-2.494263153E0,7.736362152E0,-7.008425903E0
1.134181583E0,-2.556383972E0,7.474556580E0,-7.335196381E0
1.144204583E0,-2.083367615E0,7.560477905E0,-7.476203156E0
1.154227583E0,-1.626367950E0,7.706574097E0,-7.425159302E0
1.164251583E0,-1.611249390E0,7.734565887E0,-7.147636414E0
1.174274583E0,-1.303190002E0,7.371271362E0,-6.785389709E0
1.184297583E0,-2.037862244E0,7.886050873E0,-6.715036011E0
1.194320583E0,-2.441423035E0,8.279881897E0,-6.636599121E0
1.204343583E0,-2.576741638E0,7.830815735E0,-6.408473511E0
1.214367583E0,-2.702180786E0,6.936575317E0,-5.929020538E0
1.224390583E0,-2.994822235E0,7.578889618E0,-6.195167084E0
1.234413583E0,-2.166295166E0,7.694898376E0,-6.687942352E0
1.244436583E0,-1.936522980E0,7.481741638E0,-7.168293457E0
1.254459583E0,-2.090402985E0,7.146139526E0,-7.628436584E0
1.264483583E0,-2.217638397E0,7.111860809E0,-8.307723999E0
1.274506583E0,-9.035211182E-1,8.740025024E0,-9.696985016E0
1.284529583E0,-2.424957275E0,7.114854584E0,-7.156018982E0
1.294552583E0,-4.051325226E0,5.449268188E0,-5.753136292E0
1.304575583E0,-4.774770813E0,5.489833832E0,-5.889353027E0
1.314599583E0,-4.812642059E0,5.639223175E0,-6.270759888E0
1.324622583E0,-4.706063690E0,5.665269012E0,-6.471342773E0
1.334645583E0,-4.155508575E0,5.691165161E0,-6.615642700E0
1.344668583E0,-3.414848785E0,5.807024231E0,-7.212601318E0
1.354691583E0,-3.112178192E0,5.726042633E0,-7.505841522E0
1.364715583E0,-3.059936829E0,5.452561340E0,-7.026388550E0
1.374738583E0,-2.852767639E0,5.204676819E0,-6.754853210E0
1.384761708E0,-2.780018921E0,5.116809540E0,-7.060068512E0
1.394784708E0,-3.405717773E0,4.873864746E0,-7.540269928E0
1.404807708E0,-4.467908936E0,4.518952789E0,-7.228019257E0
1.414830708E0,-5.205125885E0,4.254901886E0,-7.274572449E0
1.424854708E0,-5.299429779E0,4.030668182E0,-7.690856781E0
1.434877708E0,-5.028942261E0,3.854185181E0,-7.641459503E0
1.444900708E0,-4.781207428E0,3.766168213E0,-7.416028290E0
1.454923708E0,-4.418361969E0,3.738625488E0,-7.492219849E0
1.464946708E0,-4.145479431E0,3.807033234E0,-7.305857391E0
1.474970708E0,-4.376898193E0,3.896996155E0,-6.824159088E0
1.484993708E0,-4.587959290E0,4.071832581E0,-6.819069672E0
1.495016708E0,-4.960833893E0,4.295766907E0,-6.397845612E0
1.505039708E0,-5.430407410E0,4.652325439E0,-5.724396057E0
1.515062708E0,-5.373675385E0,4.736001434E0,-6.048172760E0
