"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.034547436E1,4.381490760E1,-1.117849085E2,1.508433668E3,9.981570838E-2,-1.000000000E0,4.837612188E0,4.837612188E0
4.134547496E1,4.381490375E1,-1.117849128E2,1.508196727E3,4.554888331E-2,-1.000000000E0,4.833647335E0,4.833647335E0
4.234547579E1,4.381490060E1,-1.117849063E2,1.508285189E3,1.799010093E-1,-1.000000000E0,4.833481115E0,4.833481115E0
4.334547663E1,4.381489864E1,-1.117849140E2,1.508344021E3,1.986063109E-1,-1.000000000E0,4.828479872E0,4.828479872E0
4.434547746E1,4.381489523E1,-1.117849126E2,1.508375144E3,3.817400024E-2,-1.000000000E0,4.833769367E0,4.833769367E0
4.534547853E1,4.381489809E1,-1.117849168E2,1.508452395E3,3.091804875E-1,-1.000000000E0,4.835261051E0,4.835261051E0
4.634547877E1,4.381489445E1,-1.117849226E2,1.508530660E3,3.168709709E-1,-1.000000000E0,4.835932294E0,4.835932294E0
4.734547937E1,4.381489047E1,-1.117849279E2,1.508541492E3,7.424266709E-2,-1.000000000E0,4.835023423E0,4.835023423E0
4.834547901E1,4.381489228E1,-1.117849251E2,1.508552399E3,5.119734868E-2,-1.000000000E0,4.833598339E0,4.833598339E0
4.934548008E1,4.381489318E1,-1.117849167E2,1.508692303E3,9.016430592E-2,-1.000000000E0,4.836571085E0,4.836571085E0
5.034547997E1,4.381489122E1,-1.117849221E2,1.508732505E3,7.582553609E-2,-1.000000000E0,4.836134342E0,4.836134342E0
5.134548092E1,4.381489526E1,-1.117849396E2,1.508861207E3,8.103401831E-2,-1.000000000E0,4.833497844E0,4.833497844E0
5.234548080E1,4.381490171E1,-1.117849457E2,1.508666266E3,9.746504227E-2,-1.000000000E0,4.825227026E0,4.825227026E0
5.334548068E1,4.381490571E1,-1.117849398E2,1.508453641E3,1.646701933E-1,-1.000000000E0,4.834266110E0,4.834266110E0
5.434548211E1,4.381490885E1,-1.117849363E2,1.508238566E3,1.953160006E-1,-1.000000000E0,4.832565370E0,4.832565370E0
5.534548211E1,4.381491579E1,-1.117849296E2,1.509503064E3,3.571420935E-1,6.395851388E1,4.828777728E0,4.828777728E0
5.634548116E1,4.381491783E1,-1.117849258E2,1.509346188E3,2.384719190E-1,-1.000000000E0,4.825648069E0,4.825648069E0
5.734548140E1,4.381491872E1,-1.117849318E2,1.509114788E3,1.103052615E-1,-1.000000000E0,4.823477917E0,4.823477917E0
5.834548175E1,4.381491990E1,-1.117849278E2,1.508956264E3,4.052681723E-2,-1.000000000E0,4.820544752E0,4.820544752E0
5.934548259E1,4.381492109E1,-1.117849311E2,1.508798409E3,8.021244146E-2,-1.000000000E0,4.820540707E0,4.820540707E0
6.034548295E1,4.381492261E1,-1.117849243E2,1.508685116E3,2.220329399E-1,-1.000000000E0,4.820900296E0,4.820900296E0
6.134548151E1,4.381492350E1,-1.117849283E2,1.508432206E3,4.119145454E-1,-1.000000000E0,4.822348095E0,4.822348095E0
6.234548187E1,4.381491852E1,-1.117849325E2,1.508347617E3,2.288545087E-1,-1.000000000E0,4.826523124E0,4.826523124E0
6.334548247E1,4.381492100E1,-1.117849194E2,1.507538931E3,4.659697843E-1,6.916410818E1,4.829002156E0,4.829002156E0
6.434548283E1,4.381492270E1,-1.117849149E2,1.507390460E3,6.639192988E-1,8.589456378E1,4.829408349E0,4.829408349E0
6.534548163E1,4.381491625E1,-1.117849161E2,1.508782266E3,4.469675058E-1,1.663246478E2,4.827628230E0,4.827628230E0
6.634548199E1,4.381491838E1,-1.117849295E2,1.508973341E3,3.213777199E-1,-1.000000000E0,4.824293263E0,4.824293263E0
6.734548223E1,4.381491554E1,-1.117849289E2,1.508739099E3,2.781965256E-1,-1.000000000E0,4.821765052E0,4.821765052E0
