timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,latitude,longitude,altitude,speed,course,hacc
1688555094530.0,1.75031,0.584834,9.774524,1688555094505.0,-0.587762,1.239026,1.48548,1688555094520.0,-12.276299,-8.55838,-42.624161,1688555094520.0,-95.440365,-3.659882,-11.408079,,,,,,,
1688555094630.0,0.979413,-1.676514,11.039094,1688555094605.0,-1.390486,1.409716,1.807594,1688555094620.0,-8.940475,-1.423462,-45.43367,1688555094621.0,-103.917077,4.539562,-5.050399,,,,,,,
1688555094730.0,0.40865,-1.113834,9.570498,1688555094705.0,0.523245,0.218888,1.043411,1688555094720.0,-7.310608,-0.090118,-46.018356,1688555094721.0,-111.704575,5.212704,-1.393932,,,,,,,
1688555094830.0,-1.666634,-1.743724,9.514964,1688555094806.0,0.173559,0.433153,1.996121,1688555094820.0,-6.224342,-2.231964,-45.851181,1688555094821.0,-120.0022,2.670146,0.544036,,,,,,,
1688555094930.0,-0.992736,-0.688718,7.413933,1688555094906.0,-0.447674,-0.024361,1.590935,1688555094921.0,-6.810005,-1.228973,-45.008469,1688555094921.0,-129.979127,2.900874,0.727355,,,,,,,
1688555095031.0,4.549789,-3.757636,10.429262,1688555095006.0,-1.107813,-1.777782,1.609048,1688555095021.0,-8.911606,4.457397,-42.452942,1688555095021.0,-140.343214,9.057207,-3.586975,,,,,,,
1688555095131.0,-1.256337,-1.968107,10.636431,1688555095106.0,0.066927,0.076373,0.583567,1688555095121.0,-9.343544,5.67981,-41.063965,1688555095122.0,-145.101917,10.361604,-4.27418,,,,,,,
1688555095231.0,2.402354,-1.074166,10.250833,1688555095206.0,-0.361432,-1.156541,1.024821,1688555095221.0,-12.029007,6.263245,-40.851196,1688555095222.0,-150.474375,10.408136,-6.812737,,,,,,,
1688555095331.0,1.483864,-1.739533,8.582403,1688555095307.0,-1.100417,-1.366972,2.456796,1688555095322.0,-17.142609,15.459106,-38.862396,1688555095322.0,-161.748489,17.042009,-11.373761,,,,,,,
1688555095432.0,0.371827,-3.480562,7.661069,1688555095407.0,-1.549862,0.277087,3.191785,1688555095422.0,-12.730354,30.998535,-35.802139,1688555095422.0,-178.495086,29.50491,-4.027325,,,,,,,
1688555095532.0,-2.266886,-6.271957,7.954758,1688555095507.0,0.726602,-1.504144,2.611641,1688555095522.0,-5.827736,39.005188,-33.549454,1688555095523.0,160.509046,30.162549,2.53619,,,,,,,
1688555095632.0,-0.429607,-4.184848,8.743168,1688555095607.0,0.331899,-0.86903,1.424647,1688555095622.0,-9.604065,33.912109,-35.103394,1688555095623.0,152.101824,23.46992,-3.066051,,,,,,,
