Time_s,delta_e,yRate_rad_s
0.791441917,0,-0.489023119
0.794847965,0,-0.488981187
0.800373077,0,-0.488900095
0.803901196,0,-0.488834888
0.807374001,0,-0.488762379
0.810975075,0,-0.488678813
0.816688061,0,-0.488532573
0.820384502,0,-0.488424033
0.823964596,0,-0.488310337
0.827805042,0,-0.488179564
0.833659649,0,-0.487965882
0.837193489,0,-0.487823844
0.841780663,0,-0.487629414
0.845231056,0,-0.487473428
0.851547718,0,-0.487165302
0.855024338,0,-0.486973405
0.859676838,0,-0.486700684
0.863314152,0,-0.486471057
0.868960381,0,-0.486095101
0.872538567,0,-0.485837966
0.876173496,0,-0.485564888
0.879746914,0,-0.485284746
0.885390759,0,-0.484824419
0.888934135,0,-0.484517932
0.892568588,0,-0.48419255
0.89610815,0,-0.483864814
0.901618958,0,-0.483338326
0.90517807,0,-0.482982159
0.90873003,0,-0.482616514
0.912380695,0,-0.482230365
0.917936325,0,-0.481626719
0.921504974,0,-0.481223524
0.92501545,0,-0.480817318
0.928602695,0,-0.480392724
0.934146881,0,-0.479721606
0.937777042,0,-0.479267269
0.941254139,0,-0.478822917
0.94481945,0,-0.478358358
0.950406551,0,-0.477616131
0.953914165,0,-0.477136314
0.957451344,0,-0.476643831
0.960942745,0,-0.476149201
0.96703577,0,-0.475271493
0.970600128,0,-0.474743336
0.974101543,0,-0.474216193
0.977714062,0,-0.473663986
0.983557701,0,-0.472756952
0.98705864,0,-0.472200274
0.990551472,0,-0.47163707
0.994074345,0,-0.47106126
1.000161171,0,-0.470052898
1.003679276,0,-0.469456732
1.007198811,0,-0.468852729
1.010727882,0,-0.468239516
1.016770363,0,-0.467176735
1.020359039,0,-0.466532528
1.024019241,0,-0.465867728
1.027402401,0,-0.465245992
1.033326149,0,-0.464147002
1.036857605,0,-0.463482052
1.040402889,0,-0.462809354
1.043894768,0,-0.46214214
1.049934864,0,-0.460980743
1.053376675,0,-0.460312545
1.056917191,0,-0.459621906
1.06137228,0,-0.458748996
1.066897869,0,-0.457660854
1.070373058,0,-0.456972748
1.075672626,0,-0.455920279
1.079279423,0,-0.45520106
1.084820747,0,-0.454093367
1.088344574,0,-0.453386605
1.091751099,0,-0.452702075
1.095378876,0,-0.451971889
1.101370335,0,-0.450763971
1.104828358,0,-0.450065136
1.108366966,0,-0.449349105
1.112074852,0,-0.448597878
1.117616653,0,-0.447473764
1.121142864,0,-0.446757287
1.124650478,0,-0.446043819
1.128074169,0,-0.445346713
1.133581638,0,-0.444224209
1.137026787,0,-0.443520933
1.140534401,0,-0.442804158
1.14398098,0,-0.442099094
1.149936676,0,-0.440879434
1.153399467,0,-0.440168917
1.156910419,0,-0.439447641
1.160520077,0,-0.438705146
1.166482449,0,-0.437476993
1.169947147,0,-0.436761588
1.173464775,0,-0.436034143
1.176873207,0,-0.435328096
1.183104992,0,-0.434035033
1.186528206,0,-0.43332243
1.190040588,0,-0.432589829
1.193524837,0,-0.431861579
1.199798107,0,-0.430547506
1.203242779,0,-0.429822952
1.206734657,0,-0.429086655
1.210138798,0,-0.428366989
1.21623373,0,-0.427074999
1.219716072,0,-0.426333129
1.223213673,0,-0.425585747
1.226616383,0,-0.424856305
1.232729912,0,-0.423541516
1.236174583,0,-0.42279622
1.239665031,0,-0.422038287
1.243198395,0,-0.421268165
1.248626709,0,-0.420080334
1.252057076,0,-0.419324964
1.255681038,0,-0.418523639
1.259448051,0,-0.417686909
1.263096333,0,-0.416872621
1.269329548,0,-0.415474653
1.272781372,0,-0.414693832
1.276428699,0,-0.413864732
1.282253742,0,-0.412533522
1.28575325,0,-0.411726713
1.289245605,0,-0.410917163
1.293693542,0,-0.40988034
1.299747467,0,-0.408458859
1.303235054,0,-0.407631576
1.307882786,0,-0.406522423
1.31140089,0,-0.405675918
1.317080498,0,-0.4043006
1.320555687,0,-0.403450191
1.324058533,0,-0.402587354
1.327892303,0,-0.4016366
1.333535194,0,-0.400226653
1.337028027,0,-0.399344027
1.340623379,0,-0.398429006
1.343955517,0,-0.397574633
1.349869728,0,-0.396047592
1.353353024,0,-0.395136774
1.356847763,0,-0.394216031
1.360251904,0,-0.393312216
1.36649704,0,-0.391641527
1.36992836,0,-0.390710533
1.373376846,0,-0.389767468
1.376915455,0,-0.388791978
1.383025169,0,-0.387093693
1.386496067,0,-0.386069149
1.389966488,0,-0.385013163
1.393359661,0,-0.383951217
